TargetDate1,TargetMonth,TargetDay
2025-01-01,200000000,6451612.903225807
2025-01-02,200000000,6451612.903225807
2025-01-03,200000000,6451612.903225807
2025-01-04,200000000,6451612.903225807
2025-01-05,200000000,6451612.903225807
2025-01-06,200000000,6451612.903225807
2025-01-07,200000000,6451612.903225807
2025-01-08,200000000,6451612.903225807
2025-01-09,200000000,6451612.903225807
2025-01-10,200000000,6451612.903225807
2025-01-11,200000000,6451612.903225807
2025-01-12,200000000,6451612.903225807
2025-01-13,200000000,6451612.903225807
2025-01-14,200000000,6451612.903225807
2025-01-15,200000000,6451612.903225807
2025-01-16,200000000,6451612.903225807
2025-01-17,200000000,6451612.903225807
2025-01-18,200000000,6451612.903225807
2025-01-19,200000000,6451612.903225807
2025-01-20,200000000,6451612.903225807
2025-01-21,200000000,6451612.903225807
2025-01-22,200000000,6451612.903225807
2025-01-23,200000000,6451612.903225807
2025-01-24,200000000,6451612.903225807
2025-01-25,200000000,6451612.903225807
2025-01-26,200000000,6451612.903225807
2025-01-27,200000000,6451612.903225807
2025-01-28,200000000,6451612.903225807
2025-01-29,200000000,6451612.903225807
2025-01-30,200000000,6451612.903225807
2025-01-31,200000000,6451612.903225807
2025-02-01,200000000,7142857.142857143
2025-02-02,200000000,7142857.142857143
2025-02-03,200000000,7142857.142857143
2025-02-04,200000000,7142857.142857143
2025-02-05,200000000,7142857.142857143
2025-02-06,200000000,7142857.142857143
2025-02-07,200000000,7142857.142857143
2025-02-08,200000000,7142857.142857143
2025-02-09,200000000,7142857.142857143
2025-02-10,200000000,7142857.142857143
2025-02-11,200000000,7142857.142857143
2025-02-12,200000000,7142857.142857143
2025-02-13,200000000,7142857.142857143
2025-02-14,200000000,7142857.142857143
2025-02-15,200000000,7142857.142857143
2025-02-16,200000000,7142857.142857143
2025-02-17,200000000,7142857.142857143
2025-02-18,200000000,7142857.142857143
2025-02-19,200000000,7142857.142857143
2025-02-20,200000000,7142857.142857143
2025-02-21,200000000,7142857.142857143
2025-02-22,200000000,7142857.142857143
2025-02-23,200000000,7142857.142857143
2025-02-24,200000000,7142857.142857143
2025-02-25,200000000,7142857.142857143
2025-02-26,200000000,7142857.142857143
2025-02-27,200000000,7142857.142857143
2025-02-28,200000000,7142857.142857143
2025-03-01,200000000,6451612.903225807
2025-03-02,200000000,6451612.903225807
2025-03-03,200000000,6451612.903225807
2025-03-04,200000000,6451612.903225807
2025-03-05,200000000,6451612.903225807
2025-03-06,200000000,6451612.903225807
2025-03-07,200000000,6451612.903225807
2025-03-08,200000000,6451612.903225807
2025-03-09,200000000,6451612.903225807
2025-03-10,200000000,6451612.903225807
2025-03-11,200000000,6451612.903225807
2025-03-12,200000000,6451612.903225807
2025-03-13,200000000,6451612.903225807
2025-03-14,200000000,6451612.903225807
2025-03-15,200000000,6451612.903225807
2025-03-16,200000000,6451612.903225807
2025-03-17,200000000,6451612.903225807
2025-03-18,200000000,6451612.903225807
2025-03-19,200000000,6451612.903225807
2025-03-20,200000000,6451612.903225807
2025-03-21,200000000,6451612.903225807
2025-03-22,200000000,6451612.903225807
2025-03-23,200000000,6451612.903225807
2025-03-24,200000000,6451612.903225807
2025-03-25,200000000,6451612.903225807
2025-03-26,200000000,6451612.903225807
2025-03-27,200000000,6451612.903225807
2025-03-28,200000000,6451612.903225807
2025-03-29,200000000,6451612.903225807
2025-03-30,200000000,6451612.903225807
2025-03-31,200000000,6451612.903225807
2025-04-01,200000000,6666666.666666667
2025-04-02,200000000,6666666.666666667
2025-04-03,200000000,6666666.666666667
2025-04-04,200000000,6666666.666666667
2025-04-05,200000000,6666666.666666667
2025-04-06,200000000,6666666.666666667
2025-04-07,200000000,6666666.666666667
2025-04-08,200000000,6666666.666666667
